sumo_type,sumo_id,matsim_type,matsim_id,mapping_method
junction,108324417,node,108324417,Exact ID
junction,108324418,node,108324418,Exact ID
junction,108325454,node,108325454,Exact ID
junction,108325989,node,108325989,Exact ID
junction,108325991,node,108325991,Exact ID
junction,108327702,node,108327702,Exact ID
junction,108329027,node,108329027,Exact ID
junction,1086886751,node,1086886751,Exact ID
junction,1086886752,node,1086886752,Exact ID
junction,1086886776,node,1086886751,Spatial Nearest
junction,1088645162,node,1088645162,Exact ID
junction,1088726615,node,1088726615,Exact ID
junction,1092585522,node,1092585522,Exact ID
junction,1092585570,node,1092585570,Exact ID
junction,1092697792,node,1092697792,Exact ID
junction,1092698172,node,1092698172,Exact ID
junction,1093519531,node,1093519531,Exact ID
junction,10959849634,node,769318469,Spatial Nearest
junction,10959849635,node,26733322,Spatial Nearest
junction,1096352283,node,1096352283,Exact ID
junction,1096372713,node,1096372713,Exact ID
junction,1096722739,node,30133386,Spatial Nearest
junction,1096722803,node,30133386,Spatial Nearest
junction,109810964,node,109810964,Exact ID
junction,109810966,node,109810966,Exact ID
junction,109810968,node,109810968,Exact ID
junction,109817052,node,109817052,Exact ID
junction,109817061,node,109817061,Exact ID
junction,1098842868,node,1098842868,Exact ID
junction,1099691752,node,1099691752,Exact ID
junction,1100615145,node,1100615145,Exact ID
junction,1100696584,node,1100696584,Exact ID
junction,11009709858,node,1560224186,Spatial Nearest
junction,11033855568,node,30432704,Spatial Nearest
junction,1104278089,node,1104278089,Exact ID
junction,1104632407,node,1104632407,Exact ID
junction,110497642,node,110497642,Exact ID
junction,1105715853,node,1105715853,Exact ID
junction,1109126819,node,1109126819,Exact ID
junction,1109710140,node,1109710140,Exact ID
junction,1109710144,node,1109710144,Exact ID
junction,1109759233,node,1109759233,Exact ID
junction,1110893781,node,904463609,Spatial Nearest
junction,1111462592,node,1111462592,Exact ID
junction,11134739027,node,38313470,Spatial Nearest
junction,1113925152,node,1113925152,Exact ID
junction,111543075,node,111543075,Exact ID
junction,111543587,node,111543587,Exact ID
junction,111544382,node,111544382,Exact ID
junction,1115466606,node,1115466606,Exact ID
junction,11163083410,node,26733823,Spatial Nearest
junction,1119034624,node,1119034624,Exact ID
junction,1119785249,node,1119785249,Exact ID
junction,11204995532,node,829523568,Spatial Nearest
junction,1122218239,node,1122218239,Exact ID
junction,1122250263,node,1122250263,Exact ID
junction,1122250905,node,1122250905,Exact ID
junction,1123247987,node,1123247987,Exact ID
junction,1123753890,node,1123753890,Exact ID
junction,1123753894,node,1123753894,Exact ID
junction,1124763163,node,1124763163,Exact ID
junction,1124813895,node,1124813895,Exact ID
junction,1126452660,node,29658897,Spatial Nearest
junction,1128360477,node,1128360477,Exact ID
junction,1128360509,node,1128360509,Exact ID
junction,1128360511,node,1128360511,Exact ID
junction,1128360512,node,1128360512,Exact ID
junction,1128360532,node,1128360532,Exact ID
junction,1129916949,node,27556454,Spatial Nearest
junction,1131002173,node,1131091766,Spatial Nearest
junction,1131002187,node,1131002187,Exact ID
junction,1131091766,node,1131091766,Exact ID
junction,1134778719,node,1134778719,Exact ID
junction,1135862466,node,1135862450,Spatial Nearest
junction,113637247,node,113637247,Exact ID
junction,1138521049,node,1138521049,Exact ID
junction,1139430143,node,3740401523,Spatial Nearest
junction,114093304,node,1549598450,Spatial Nearest
junction,1141824924,node,1141824924,Exact ID
junction,1142101038,node,1142101038,Exact ID
junction,11422536767,node,150944687,Spatial Nearest
junction,1143432318,node,1143432318,Exact ID
junction,1143432342,node,1143432342,Exact ID
junction,1143467763,node,1143467763,Exact ID
junction,1144045848,node,28096705,Spatial Nearest
junction,1145568528,node,1145568528,Exact ID
junction,1145597709,node,30775770,Spatial Nearest
junction,1146893864,node,1146893864,Exact ID
junction,1148593155,node,1148593155,Exact ID
junction,1148593156,node,256009274,Spatial Nearest
junction,1148593158,node,1148593158,Exact ID
junction,115182534,node,115182534,Exact ID
junction,115196010,node,115196010,Exact ID
junction,115196023,node,115196023,Exact ID
junction,1160736830,node,1160736830,Exact ID
junction,116592065,node,116592065,Exact ID
junction,116592068,node,116592068,Exact ID
junction,116798361,node,116798361,Exact ID
junction,116798368,node,116798368,Exact ID
junction,116798505,node,116798505,Exact ID
junction,1168276028,node,1168276028,Exact ID
junction,1168825607,node,1168825607,Exact ID
junction,1170230929,node,1170230929,Exact ID
junction,1170230931,node,1170230931,Exact ID
junction,1176680925,node,1176680925,Exact ID
junction,1177833746,node,1177833746,Exact ID
junction,1179810179,node,788643877,Spatial Nearest
junction,1185919940,node,1185919940,Exact ID
junction,11862428207,node,1434035702,Spatial Nearest
junction,1188853733,node,1188853733,Exact ID
junction,1189661688,node,1189661688,Exact ID
junction,1189877243,node,1189877243,Exact ID
junction,1190016834,node,1190016834,Exact ID
junction,1190374193,node,1190374193,Exact ID
junction,11921932085,node,27556048,Spatial Nearest
junction,11959595755,node,264545627,Spatial Nearest
junction,1196571758,node,1196571758,Exact ID
junction,11984960424,node,933601196,Spatial Nearest
junction,1200255028,node,1200255028,Exact ID
junction,1200731706,node,1200731706,Exact ID
junction,1202235943,node,1202235943,Exact ID
junction,1203445485,node,1203445485,Exact ID
junction,1203445627,node,1203445627,Exact ID
junction,12043163490,node,637767071,Spatial Nearest
junction,12064180098,node,30625109,Spatial Nearest
junction,1208156813,node,1208156813,Exact ID
junction,1208156814,node,1208156814,Exact ID
junction,1208369305,node,1208369305,Exact ID
junction,1208608753,node,1208608753,Exact ID
junction,1208647794,node,1208647794,Exact ID
junction,1209012706,node,1209012706,Exact ID
junction,1209017489,node,1209017489,Exact ID
junction,1209017495,node,1209017495,Exact ID
junction,1210473765,node,1210473765,Exact ID
junction,1211007436,node,1211007436,Exact ID
junction,1211011538,node,1211011538,Exact ID
junction,1211018735,node,1211018735,Exact ID
junction,1211868056,node,1211868056,Exact ID
junction,12120515960,node,3261486260,Spatial Nearest
junction,12120515970,node,100154846,Spatial Nearest
junction,1213566823,node,1213566823,Exact ID
junction,12144404098,node,100154846,Spatial Nearest
junction,12146206667,node,273470376,Spatial Nearest
junction,12146206681,node,3261486260,Spatial Nearest
junction,12147640339,node,100154846,Spatial Nearest
junction,1215285190,node,1215285190,Exact ID
junction,1215285192,node,1215285192,Exact ID
junction,1215285198,node,1215285198,Exact ID
junction,1215285200,node,1215285200,Exact ID
junction,1215285208,node,1215285208,Exact ID
junction,1215285212,node,1215285212,Exact ID
junction,1215285213,node,1215285213,Exact ID
junction,1215781669,node,31050952,Spatial Nearest
junction,1215781670,node,31050952,Spatial Nearest
junction,12163419156,node,254838874,Spatial Nearest
junction,1216534975,node,1216534975,Exact ID
junction,1216609275,node,1216609275,Exact ID
junction,1216609290,node,1216609290,Exact ID
junction,1217832286,node,173216620,Spatial Nearest
junction,1219615104,node,1219615104,Exact ID
junction,1219668488,node,1219668488,Exact ID
junction,12229565722,node,34782027,Spatial Nearest
junction,1223315527,node,1187126265,Spatial Nearest
junction,122341681,node,122341681,Exact ID
junction,122341702,node,122341702,Exact ID
junction,122341780,node,122341780,Exact ID
junction,122353799,node,122353799,Exact ID
junction,1224107027,node,1224107027,Exact ID
junction,1226226066,node,1226226066,Exact ID
junction,1226833894,node,1226833894,Exact ID
junction,1226966075,node,1226966075,Exact ID
junction,1227880940,node,1227880940,Exact ID
junction,1228158524,node,1228158524,Exact ID
junction,1228158561,node,1228158561,Exact ID
junction,12282723592,node,26733761,Spatial Nearest
junction,12282723594,node,26733761,Spatial Nearest
junction,12282723595,node,1849527449,Spatial Nearest
junction,12282723596,node,1849527449,Spatial Nearest
junction,12282723597,node,26733761,Spatial Nearest
junction,12282723598,node,26733761,Spatial Nearest
junction,12282723599,node,26733761,Spatial Nearest
junction,12282774306,node,26733635,Spatial Nearest
junction,12282774307,node,26733635,Spatial Nearest
junction,12282774308,node,26733635,Spatial Nearest
junction,12282774309,node,26733634,Spatial Nearest
junction,12282774310,node,26733323,Spatial Nearest
junction,12282774311,node,26733323,Spatial Nearest
junction,12282774316,node,26733323,Spatial Nearest
junction,12282774318,node,538421413,Spatial Nearest
junction,12282774319,node,769318469,Spatial Nearest
junction,12282774324,node,330031810,Spatial Nearest
junction,12282774325,node,26734029,Spatial Nearest
junction,12282774417,node,95729189,Spatial Nearest
junction,12282774418,node,26733635,Spatial Nearest
junction,12282774421,node,26733635,Spatial Nearest
junction,12282774422,node,26733635,Spatial Nearest
junction,12282774427,node,1849527449,Spatial Nearest
junction,12282774434,node,1849527449,Spatial Nearest
junction,12282774437,node,1849527449,Spatial Nearest
junction,12282774438,node,1849527449,Spatial Nearest
junction,12282774442,node,1849527449,Spatial Nearest
junction,12282774444,node,1849527449,Spatial Nearest
junction,12282774446,node,29691517,Spatial Nearest
junction,12282774449,node,26733823,Spatial Nearest
junction,12282774450,node,26733823,Spatial Nearest
junction,12282774451,node,26733823,Spatial Nearest
junction,12282774455,node,26733823,Spatial Nearest
junction,1228445492,node,1228445492,Exact ID
junction,1232386291,node,1232386291,Exact ID
junction,1232531376,node,1232531376,Exact ID
junction,123368273,node,123368273,Exact ID
junction,1234120045,node,32444606,Spatial Nearest
junction,1234120112,node,1234120112,Exact ID
junction,1234120294,node,1234120294,Exact ID
junction,1234120307,node,1234120307,Exact ID
junction,1234120411,node,1234120411,Exact ID
junction,1234453474,node,1234453474,Exact ID
junction,1235819993,node,1235819993,Exact ID
junction,1236032031,node,1236032031,Exact ID
junction,1236032061,node,1236032061,Exact ID
junction,1236954257,node,1236954257,Exact ID
junction,1237540975,node,35249565,Spatial Nearest
junction,1237777024,node,1237777024,Exact ID
junction,1240291204,node,1240291204,Exact ID
junction,124041384,node,124041384,Exact ID
junction,124044548,node,124044548,Exact ID
junction,124049545,node,124049545,Exact ID
junction,124049547,node,124049547,Exact ID
junction,1240609736,node,1240609736,Exact ID
junction,1241168315,node,1241168315,Exact ID
junction,1242393639,node,1242393639,Exact ID
junction,1242393721,node,1242393721,Exact ID
junction,1242394063,node,1242394063,Exact ID
junction,1246064817,node,712637608,Spatial Nearest
junction,1246065055,node,1246065055,Exact ID
junction,1246065093,node,1246065093,Exact ID
junction,1246065153,node,1246065153,Exact ID
junction,1246065169,node,1246065169,Exact ID
junction,124782668,node,124782668,Exact ID
junction,12520468249,node,30625109,Spatial Nearest
junction,1253134799,node,271276756,Spatial Nearest
junction,1253669938,node,1253669938,Exact ID
junction,1255080301,node,1255080301,Exact ID
junction,125560338,node,125560338,Exact ID
junction,1256247780,node,1256247780,Exact ID
junction,1256627509,node,1256627509,Exact ID
junction,1256627514,node,1256627514,Exact ID
junction,1257252162,node,1257252162,Exact ID
junction,1257252175,node,1257252175,Exact ID
junction,1257252179,node,1257252179,Exact ID
junction,1257252195,node,1257252195,Exact ID
junction,1258806599,node,1258806599,Exact ID
junction,1261425423,node,1261425423,Exact ID
junction,1261425427,node,1261425427,Exact ID
junction,12614651,node,12614651,Exact ID
junction,12614655,node,12614655,Exact ID
junction,12614667,node,12614667,Exact ID
junction,12614672,node,12614672,Exact ID
junction,12614675,node,12614675,Exact ID
junction,12614678,node,12614678,Exact ID
junction,12614682,node,12614682,Exact ID
junction,12615161,node,12615161,Exact ID
junction,1263283307,node,29207822,Spatial Nearest
junction,126363426,node,126363426,Exact ID
junction,126363462,node,126363462,Exact ID
junction,126364039,node,126364039,Exact ID
junction,1264275792,node,142440460,Spatial Nearest
junction,1264394985,node,1264394985,Exact ID
junction,1264863307,node,1264863307,Exact ID
junction,1265088691,node,1265088691,Exact ID
junction,1265088694,node,1265088694,Exact ID
junction,126551448,node,126551448,Exact ID
junction,126551476,node,126551476,Exact ID
junction,1267994355,node,1267994355,Exact ID
junction,1268530851,node,1268530851,Exact ID
junction,1268943806,node,1268943806,Exact ID
junction,12696810,node,12696810,Exact ID
junction,1270773091,node,1270773091,Exact ID
junction,1270773092,node,1270773092,Exact ID
junction,1271098214,node,288823072,Spatial Nearest
junction,1271593343,node,1271593343,Exact ID
junction,1272318659,node,1272318659,Exact ID
junction,1274318950,node,1274318950,Exact ID
junction,1274860919,node,1274860919,Exact ID
junction,1274861012,node,370576967,Spatial Nearest
junction,1274910777,node,4794733138,Spatial Nearest
junction,1274998214,node,1274998214,Exact ID
junction,1275014815,node,1275014815,Exact ID
junction,1275014842,node,1275014842,Exact ID
junction,1275014963,node,1275014963,Exact ID
junction,1275477851,node,1275477851,Exact ID
junction,1275687098,node,29786523,Spatial Nearest
junction,1277963434,node,1277963434,Exact ID
junction,1277963441,node,1277963441,Exact ID
junction,1277967229,node,1277967229,Exact ID
junction,1277967231,node,1277967231,Exact ID
junction,1277969544,node,1277969544,Exact ID
junction,1278226474,node,1278226474,Exact ID
junction,127848605,node,127848605,Exact ID
junction,1282075974,node,1282075974,Exact ID
junction,1282632664,node,1282632664,Exact ID
junction,1283572596,node,1283572596,Exact ID
junction,128391208,node,128391208,Exact ID
junction,128415539,node,487789301,Spatial Nearest
junction,1286927777,node,1286927777,Exact ID
junction,1288394237,node,168209227,Spatial Nearest
junction,129255750,node,129255750,Exact ID
junction,1293319277,node,1293319277,Exact ID
junction,1295553259,node,1295553259,Exact ID
junction,129622039,node,129622039,Exact ID
junction,1296299420,node,1296299420,Exact ID
junction,1296299430,node,1296299430,Exact ID
junction,1296299432,node,1296299432,Exact ID
junction,1296299436,node,1296299436,Exact ID
junction,129650983,node,129650983,Exact ID
junction,129650986,node,129650986,Exact ID
junction,129650989,node,129650989,Exact ID
junction,129650992,node,129650992,Exact ID
junction,1298491634,node,1298491634,Exact ID
junction,1299913222,node,1299913222,Exact ID
junction,130069017,node,130069017,Exact ID
junction,1300761290,node,1300761290,Exact ID
junction,130088130,node,130088130,Exact ID
junction,130088140,node,130088140,Exact ID
junction,130093531,node,130093531,Exact ID
junction,130101337,node,130101337,Exact ID
junction,130107063,node,130107063,Exact ID
junction,130108612,node,130108612,Exact ID
junction,130108650,node,130108650,Exact ID
junction,1301777665,node,254867038,Spatial Nearest
junction,1302029403,node,1302029403,Exact ID
junction,1308323515,node,1308323515,Exact ID
